11.200000000000001 [11.199999999999976, 0.0, 0.0] [13.270345977959545, 0.9666323802982046, 0.0] [1.0, 0.0, 0.0] [0.10221915891681099, -0.4404424609230605, 0.0]
11.3 [11.299999999999976, 0.0, 0.0] [13.289920190851722, 0.8803626212911454, 0.0] [1.0, 0.0, 0.0] [0.09352297000497511, -0.42225512914753177, 0.0]
11.4 [11.399999999999975, 0.0, 0.0] [13.307784671097926, 0.7977641051993578, 0.0] [1.0, 0.0, 0.0] [0.08512183245706595, -0.4037300317703443, 0.0]
11.5 [11.499999999999975, 0.0, 0.0] [13.324000003859855, 0.7189035535062748, 0.0] [1.0, 0.0, 0.0] [0.07703149516222352, -0.3848754851604861, 0.0]
11.600000000000001 [11.599999999999975, 0.0, 0.0] [13.338629907441591, 0.6438459230759259, 0.0] [1.0, 0.0, 0.0] [0.06926754065513674, -0.3657008191430018, 0.0]
11.700000000000001 [11.699999999999974, 0.0, 0.0] [13.351741192861176, 0.5726542028014195, 0.0] [1.0, 0.0, 0.0] [0.06184531354071987, -0.34621638360206153, 0.0]
11.8 [11.799999999999974, 0.0, 0.0] [13.363403708886976, 0.5053892095541643, 0.0] [1.0, 0.0, 0.0] [0.05477984671727554, -0.32643354887049064, 0.0]
11.9 [11.899999999999974, 0.0, 0.0] [13.373690272155034, 0.44210938471463845, 0.0] [1.0, 0.0, 0.0] [0.04808578596330504, -0.30636469952476797, 0.0]
12.0 [11.999999999999973, 0.0, 0.0] [13.382676582102683, 0.3828705926358102, 0.0] [1.0, 0.0, 0.0] [0.04177731351316749, -0.28602322126351465, 0.0]
12.100000000000001 [12.099999999999973, 0.0, 0.0] [13.39044112058407, 0.3277259224478143, 0.0] [1.0, 0.0, 0.0] [0.03586807130068992, -0.26542348061644483, 0.0]
12.200000000000001 [12.199999999999973, 0.0, 0.0] [13.397065036173732, 0.2767254946552665, 0.0] [1.0, 0.0, 0.0] [0.030371084595927633, -0.24458079730903318, 0.0]
12.3 [12.299999999999972, 0.0, 0.0] [13.402632013313017, 0.2299162740048924, 0.0] [1.0, 0.0, 0.0] [0.025298686796926706, -0.22351140919470835, 0.0]
12.4 [12.399999999999972, 0.0, 0.0] [13.407228126609114, 0.1873418901094232, 0.0] [1.0, 0.0, 0.0] [0.02066244616405455, -0.2022324297599836, 0.0]
12.5 [12.499999999999972, 0.0, 0.0] [13.410941680755313, 0.14904246730272794, 0.0] [1.0, 0.0, 0.0] [0.01647309529793206, -0.18076179830696887, 0.0]
12.600000000000001 [12.599999999999971, 0.0, 0.0] [13.413863036701317, 0.1150544651699987, 0.0] [1.0, 0.0, 0.0] [0.012740464162105614, -0.1591182230203234, 0.0]
12.700000000000001 [12.69999999999997, 0.0, 0.0] [13.416084424861287, 0.08541053114497968, 0.0] [1.0, 0.0, 0.0] [0.009473417437602993, -0.13732111722986687, 0.0]
12.8 [12.79999999999997, 0.0, 0.0] [13.41769974630184, 0.06013936649364633, 0.0] [1.0, 0.0, 0.0] [0.006679796967925644, -0.11539052928346658, 0.0]
12.9 [12.89999999999997, 0.0, 0.0] [13.418804362999616, 0.03926560691077993, 0.0] [1.0, 0.0, 0.0] [0.004366370009828091, -0.09334706654519744, 0.0]
13.0 [12.99999999999997, 0.0, 0.0] [13.41949487839537, 0.022809718843396404, 0.0] [1.0, 0.0, 0.0] [0.002538783947712453, -0.07121181412863786, 0.0]
13.100000000000001 [13.09999999999997, 0.0, 0.0] [13.419868909595982, 0.010787912524304354, 0.0] [1.0, 0.0, 0.0] [0.0012015280584147803, -0.049006249062282646, 0.0]
13.200000000000001 [13.199999999999969, 0.0, 0.0] [13.420024852684795, 0.0032120725519616837, 0.0] [1.0, 0.0, 0.0] [0.00035790282971615017, -0.026752150661144045, 0.0]
13.3 [13.299999999999969, 0.0, 0.0] [13.420061642691929, 8.970669147974624e-05, 0.0] [1.0, 0.0, 0.0] [9.997241617543118e-06, -0.0044715079436753275, 0.0]
13.4 [13.399999999999968, 0.0, 0.0] [13.42007850984771, 0.00142391339866448, 0.0] [1.0, 0.0, 0.0] [0.00015867431618621364, 0.017813575015522665, 0.0]
